Timestamp,HostCPU,HostMemUsage,HostMemTotal,HostMemPerc,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740725564,7,6401180,16228688,39.44,,,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,17.41%,"2.239GiB / 15.48GiB",14.47%,"603MB / 637MB","0B / 0B",1430
1740725564,7,6401180,16228688,39.44,,,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,1.55%,"111.5MiB / 15.48GiB",0.70%,"704MB / 806MB","0B / 0B",40
1740725564,7,6401180,16228688,39.44,,,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,0.74%,"841.5MiB / 15.48GiB",5.31%,"49.7MB / 96.8MB","0B / 0B",245
1740725577,8,6424184,16228688,39.59,,,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,95.60%,"182.5MiB / 256MiB",71.27%,"582MB / 436MB","0B / 0B",30
1740725577,8,6424184,16228688,39.59,,,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.55MiB / 20MiB",67.75%,"28.3kB / 3.16kB","0B / 0B",18
1740725577,8,6424184,16228688,39.59,,,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,10.66%,"2.247GiB / 15.48GiB",14.52%,"603MB / 637MB","0B / 0B",1432
1740725577,8,6424184,16228688,39.59,,,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,1.52%,"112.3MiB / 15.48GiB",0.71%,"704MB / 807MB","0B / 0B",40
1740725577,8,6424184,16228688,39.59,,,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,0.78%,"842.4MiB / 15.48GiB",5.32%,"49.9MB / 96.8MB","0B / 0B",247
1740725589,9,6442964,16228688,39.70,,,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,95.01%,"179.4MiB / 256MiB",70.10%,"582MB / 436MB","0B / 0B",31
1740725589,9,6442964,16228688,39.70,,,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.55MiB / 20MiB",67.75%,"28.3kB / 3.16kB","0B / 0B",18
1740725589,9,6442964,16228688,39.70,,,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,17.22%,"2.259GiB / 15.48GiB",14.59%,"604MB / 638MB","0B / 0B",1444
