Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740713624,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,0.16%,"86.46MiB / 256MiB",33.77%,"110MB / 77MB","0B / 0B",61
1740713624,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.45MiB / 20MiB",67.23%,"23.9kB / 0B","0B / 0B",18
1740713624,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,0.10%,"252.6MiB / 15.48GiB",1.59%,"191MB / 125MB","0B / 0B",36
1740713624,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,0.09%,"98.64MiB / 15.48GiB",0.62%,"205MB / 231MB","0B / 0B",40
1740713624,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,0.64%,"828.4MiB / 15.48GiB",5.23%,"12.6MB / 86MB","0B / 0B",231
1740713635,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,0.12%,"86.46MiB / 256MiB",33.77%,"110MB / 77MB","0B / 0B",61
1740713635,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.45MiB / 20MiB",67.23%,"23.9kB / 0B","0B / 0B",18
1740713635,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,1544.62%,"1.822GiB / 15.48GiB",11.77%,"191MB / 125MB","0B / 0B",454
1740713635,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,0.09%,"98.64MiB / 15.48GiB",0.62%,"205MB / 231MB","0B / 0B",40
1740713635,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,4.25%,"831.3MiB / 15.48GiB",5.25%,"12.7MB / 86.1MB","0B / 0B",244
1740713647,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,97.89%,"87.62MiB / 256MiB",34.23%,"112MB / 78.4MB","0B / 0B",60
1740713647,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.45MiB / 20MiB",67.23%,"24.2kB / 0B","0B / 0B",18
1740713647,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,93.89%,"2.311GiB / 15.48GiB",14.93%,"193MB / 127MB","0B / 0B",1458
1740713647,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,8.08%,"102.5MiB / 15.48GiB",0.65%,"209MB / 235MB","0B / 0B",40
1740713647,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,0.93%,"833.9MiB / 15.48GiB",5.26%,"12.9MB / 86.2MB","0B / 0B",245
1740713659,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,100.55%,"76.56MiB / 256MiB",29.91%,"114MB / 80MB","0B / 0B",46
1740713659,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.45MiB / 20MiB",67.23%,"24.2kB / 0B","0B / 0B",18
1740713659,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,36.29%,"2.385GiB / 15.48GiB",15.41%,"195MB / 130MB","0B / 0B",1430
1740713659,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,8.40%,"102.7MiB / 15.48GiB",0.65%,"213MB / 240MB","0B / 0B",40
1740713659,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,0.79%,"834.9MiB / 15.48GiB",5.27%,"13MB / 86.3MB","0B / 0B",244
1740713671,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,106.13%,"77.13MiB / 256MiB",30.13%,"117MB / 81.7MB","0B / 0B",46
1740713671,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.45MiB / 20MiB",67.23%,"24.2kB / 0B","0B / 0B",18
1740713671,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,55.58%,"2.497GiB / 15.48GiB",16.13%,"198MB / 132MB","0B / 0B",1430
1740713671,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,9.20%,"103.3MiB / 15.48GiB",0.65%,"218MB / 245MB","0B / 0B",40
1740713671,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,1.46%,"835.6MiB / 15.48GiB",5.27%,"13.2MB / 86.3MB","0B / 0B",242
1740713683,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,120.06%,"77.04MiB / 256MiB",30.09%,"119MB / 83.5MB","0B / 0B",42
1740713683,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.45MiB / 20MiB",67.23%,"24.2kB / 0B","0B / 0B",18
1740713683,38551dc193e6,reverse-proxy-agent-1,38551dc193e6,50.93%,"2.624GiB / 15.48GiB",16.96%,"200MB / 135MB","0B / 0B",1430
1740713683,237e75e8f6fa,reverse-proxy-lb-1,237e75e8f6fa,10.52%,"103.4MiB / 15.48GiB",0.65%,"222MB / 250MB","0B / 0B",40
1740713683,f6b417fc0714,reverse-proxy-controller-1,f6b417fc0714,1.98%,"836.9MiB / 15.48GiB",5.28%,"13.4MB / 86.4MB","0B / 0B",242
1740713695,d9ae95b21dde,reverse-proxy-api-1,d9ae95b21dde,115.05%,"83.79MiB / 256MiB",32.73%,"122MB / 85.3MB","0B / 0B",46
1740713695,056cf00840ca,reverse-proxy-cache-1,056cf00840ca,0.00%,"13.45MiB / 20MiB",67.23%,"24.2kB / 0B","0B / 0B",18
